Trial Number,Accuracy,Response Time
1,Correct,1.0526220000001558
2,Incorrect,1.0212901250001778
3,Correct,1.089015207999637
4,Correct,1.012742917000196
5,Incorrect,1.2621067499999299
6,Incorrect,1.0990466670000387
7,Correct,1.1688859169998977
8,Correct,1.0529551250001532
9,Correct,1.107129458000145
10,Correct,0.9758327909999025
11,Correct,1.1830889579996438
12,Correct,1.2118980840000404
13,Correct,1.376073875000202
14,Correct,1.1069585420000294
15,Correct,1.1175384579996717
